nameWithOwner,url,createdAt,stargazers,releases,alreadyRead
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,2018-05-07T13:27:00Z,119170,0,False
doocs/advanced-java,https://github.com/doocs/advanced-java,2018-10-06T11:38:30Z,61890,1,False
spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,2012-10-19T15:02:57Z,60214,125,False
elastic/elasticsearch,https://github.com/elastic/elasticsearch,2010-02-08T13:20:56Z,58934,79,False
spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,2010-12-08T04:04:45Z,46623,224,False
ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,2013-01-08T20:11:48Z,45870,228,False
GrowingGit/GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,2019-09-05T03:01:56Z,45271,0,False
TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,2016-07-16T10:21:02Z,45182,0,False
google/guava,https://github.com/google/guava,2014-05-29T16:23:17Z,43992,35,False
square/retrofit,https://github.com/square/retrofit,2010-09-06T21:39:43Z,39732,0,False
apache/dubbo,https://github.com/apache/dubbo,2012-06-19T07:56:02Z,36988,46,False
PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,2014-04-25T14:29:47Z,34823,44,False
airbnb/lottie-android,https://github.com/airbnb/lottie-android,2016-10-06T22:42:42Z,32563,41,False
bumptech/glide,https://github.com/bumptech/glide,2013-07-08T22:52:33Z,32381,38,False
Blankj/AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,2016-07-30T18:18:32Z,30572,116,False
geekxh/hello-algorithm,https://github.com/geekxh/hello-algorithm,2020-05-29T05:47:09Z,30121,0,False
eugenp/tutorials,https://github.com/eugenp/tutorials,2013-04-29T18:26:36Z,29902,0,False
alibaba/arthas,https://github.com/alibaba/arthas,2018-08-29T17:15:57Z,28706,39,False
jeecgboot/jeecg-boot,https://github.com/jeecgboot/jeecg-boot,2018-11-26T10:40:00Z,28355,18,False
apolloconfig/apollo,https://github.com/apolloconfig/apollo,2016-03-04T10:24:23Z,26483,34,False
SeleniumHQ/selenium,https://github.com/SeleniumHQ/selenium,2013-01-14T21:40:56Z,23055,73,False
wuyouzhuguli/SpringAll,https://github.com/wuyouzhuguli/SpringAll,2018-05-02T02:48:44Z,23014,0,False
alibaba/easyexcel,https://github.com/alibaba/easyexcel,2018-02-06T03:14:08Z,22905,1,False
hollischuang/toBeTopJavaer,https://github.com/hollischuang/toBeTopJavaer,2018-10-25T09:54:54Z,22495,0,False
seata/seata,https://github.com/seata/seata,2018-12-28T08:37:22Z,21810,31,False
alibaba/nacos,https://github.com/alibaba/nacos,2018-06-15T06:49:27Z,21766,43,False
halo-dev/halo,https://github.com/halo-dev/halo,2018-03-21T12:56:52Z,21658,83,False
apache/kafka,https://github.com/apache/kafka,2011-08-15T18:06:16Z,21474,0,False
DrKLO/Telegram,https://github.com/DrKLO/Telegram,2013-10-25T14:08:10Z,19500,73,False
google/ExoPlayer,https://github.com/google/ExoPlayer,2014-06-13T21:19:18Z,19083,18,False
apache/skywalking,https://github.com/apache/skywalking,2015-11-07T03:30:36Z,18944,50,False
jenkinsci/jenkins,https://github.com/jenkinsci/jenkins,2010-11-22T21:21:23Z,18617,165,False
redisson/redisson,https://github.com/redisson/redisson,2014-01-11T14:06:25Z,18594,106,False
apache/flink,https://github.com/apache/flink,2014-06-07T07:00:10Z,18418,0,False
